latitud,longitud,PC1,PC2,PC3,PC4,PC5,PC6,PC7,cluster,target,Coordinates,geometry
24.11737,-110.42209,-0.19687529661826003,-0.00766561334192627,-0.015582738709465763,-0.006817719270914144,0.06362141601637432,0.12611487986058978,-0.010476659726298146,4,Verde,POINT (-110.42209 24.11737),POINT (-110.42209 24.11737)
24.11762,-110.35493,0.13605731685791558,-0.007056398098253247,-0.004477332320438516,-0.012708375714160969,-0.03720701125882022,-0.08454312296899244,-0.006080937936651186,4,Verde,POINT (-110.35493 24.11762),POINT (-110.35493 24.11762)
24.07696,-109.99047,0.0897140348319351,-0.0070617326402625325,-0.01005675029881729,-0.012250181376936944,-0.02368149377852718,-0.05526797758866192,-0.008986077368419864,4,Verde,POINT (-109.99047 24.07696),POINT (-109.99047 24.07696)
23.98474,-109.83324,0.35900841633219005,-0.005737175322816258,-0.013965238094236037,-0.010068680593307011,-0.02935742968487854,0.07452419470266197,-0.009485188877379872,4,Verde,POINT (-109.83324 23.98474),POINT (-109.83324 23.98474)
23.09,-109.70028,0.002647378243912607,-0.011974499744231279,-0.011799403456884338,-0.01196920537134623,0.0028960913457709123,-0.00015964603357197647,-0.009905546532755043,4,Amarillo,POINT (-109.70028 23.09),POINT (-109.70028 23.09)
23.69201,-109.69258,0.3816729032992002,-0.005489412206101242,-0.016276144828432468,-0.008667570409259409,-0.012370641035896641,0.10884561559052319,-0.010011890096811275,4,Verde,POINT (-109.69258 23.69201),POINT (-109.69258 23.69201)
23.67178,-109.69636,0.4075844957618983,-0.005450094683831062,-0.015553595360281251,-0.009297932452809118,-0.0222209645295929,0.08934328652839581,-0.009801315706877185,4,Verde,POINT (-109.69636 23.67178),POINT (-109.69636 23.67178)
23.62191,-109.6072,0.45041216481128205,-0.005225896796692921,-0.01651199744521069,-0.00886583038326596,-0.019882199958775843,0.10029942268445631,-0.01000475564869111,4,Verde,POINT (-109.6072 23.62191),POINT (-109.6072 23.62191)
23.43498,-109.42626,0.20627406815221191,-0.006803628595373252,-0.007817996262866425,-0.014393712404424431,-0.05917381629154481,-0.12903923852709756,-0.00766454011687244,4,Verde,POINT (-109.42626 23.43498),POINT (-109.42626 23.43498)
23.40421,-109.42467,0.21352916269722505,-0.006883571313248832,-0.004718171318365758,-0.014465589778260662,-0.06105836610994924,-0.133595519695596,-0.008101344037550778,4,Verde,POINT (-109.42467 23.40421),POINT (-109.42467 23.40421)
23.05754,-109.69102,0.00248934315057524,0.06775048571295075,-0.0085350876024669,-0.03938384319504347,0.004202626642681794,-1.5302726141152176e-06,-0.009630956012760714,4,Amarillo,POINT (-109.69102 23.05754),POINT (-109.69102 23.05754)
23.05032,-109.68738,0.00276422517847686,-0.07690858072107054,-0.014505751367469682,0.011334610267447566,0.0018019371133332991,-0.0002864020641648068,-0.00955862713579132,4,Amarillo,POINT (-109.68738 23.05032),POINT (-109.68738 23.05032)
23.04306,-109.68889,0.4778980188706029,-0.005016303298547158,-0.017402338788364922,-0.008186745781054659,-0.016182857283509454,0.10914089574782712,-0.007340835184810145,4,Verde,POINT (-109.68889 23.04306),POINT (-109.68889 23.04306)
